#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 26 00 00 290  2.0  3.0    MM    MM    MM  MM 1014.4  18.5  20.1  15.9   MM -0.0    MM
2024 10 25 23 50 290  3.0  4.0   0.9    16   7.5 190 1014.4  18.5  20.1  15.9   MM   MM    MM
2024 10 25 23 40 300  4.0  5.0    MM    MM    MM  MM 1014.3  18.4  20.1  15.8   MM   MM    MM
2024 10 25 23 30 300  4.0  5.0    MM    MM    MM  MM 1014.3  18.4  20.2  15.8   MM   MM    MM
2024 10 25 23 20 310  3.0  4.0   1.0    14   7.8 180 1014.4  18.4  20.2  15.8   MM   MM    MM
2024 10 25 23 10 310  3.0  4.0   1.0    MM   7.8 180 1014.2  18.4  20.2  15.8   MM   MM    MM
2024 10 25 23 00 310  3.0  4.0    MM    MM    MM  MM 1014.2  18.3  20.3  15.7   MM -1.0    MM
2024 10 25 22 50 300  3.0  4.0   0.9    14   7.8 182 1014.2  18.3  20.2  15.7   MM   MM    MM
2024 10 25 22 40 300  3.0  4.0    MM    MM    MM  MM 1014.1  18.3  20.3  15.7   MM   MM    MM
2024 10 25 22 30 300  4.0  5.0    MM    MM    MM  MM 1014.1  18.1  20.2  15.5   MM   MM    MM
2024 10 25 22 20 300  4.0  5.0   0.9    13   7.8 183 1014.0  18.1  20.2  15.5   MM   MM    MM
2024 10 25 22 10 290  4.0  5.0   0.9    MM   7.8 183 1014.1  18.1  20.2  15.5   MM   MM    MM
2024 10 25 22 00 290  3.0  4.0    MM    MM    MM  MM 1014.1  18.0  20.2  15.5   MM -1.4    MM
2024 10 25 21 50 280  3.0  4.0   0.9    14   7.7 192 1014.1  18.0  20.2  15.4   MM   MM    MM
2024 10 25 21 40 270  3.0  4.0   0.9    MM   7.7 192 1014.1  17.9  20.2  15.3   MM   MM    MM
2024 10 25 21 30 270  3.0  4.0    MM    MM    MM  MM 1014.1  17.9  20.1  15.4   MM   MM    MM
2024 10 25 21 20 270  3.0  4.0   1.0    14   8.2 188 1014.1  17.9  20.2  15.4   MM   MM    MM
2024 10 25 21 10 260  3.0  4.0    MM    MM    MM  MM 1014.2  17.8  20.1  15.3   MM   MM    MM
2024 10 25 21 00 260  3.0  4.0    MM    MM    MM  MM 1014.4  17.9  19.9  15.3   MM -1.0    MM
2024 10 25 20 50 270  3.0  4.0   0.9    14   8.0 190 1014.5  17.9  20.0  15.3   MM   MM    MM
2024 10 25 20 40 260  3.0  3.0    MM    MM    MM  MM 1014.6  18.0  20.2  15.3   MM   MM    MM
2024 10 25 20 30 260  2.0  4.0    MM    MM    MM  MM 1014.8  18.0  19.9  15.3   MM   MM    MM
2024 10 25 20 20 260  2.0  3.0   0.9    14   8.1 188 1014.9  18.0  20.0  15.2   MM   MM    MM
2024 10 25 20 10 250  2.0  3.0    MM    MM    MM  MM 1015.0  18.1  20.0  15.2   MM   MM    MM
2024 10 25 20 00 250  1.0  2.0    MM    MM    MM  MM 1015.2  18.0  20.2  15.1   MM +0.0    MM
2024 10 25 19 50 260  2.0  2.0   1.0    13   8.8 185 1015.2  17.9  19.9  15.0   MM   MM    MM
2024 10 25 19 40 270  2.0  3.0    MM    MM    MM  MM 1015.3  17.9  19.9  15.1   MM   MM    MM
2024 10 25 19 30 280  2.0  3.0    MM    MM    MM  MM 1015.3  17.9  19.9  15.0   MM   MM    MM
2024 10 25 19 20 270  1.0  2.0   0.9    14   8.5 194 1015.5  17.9  19.9  14.9   MM   MM    MM
2024 10 25 19 10 260  1.0  2.0    MM    MM    MM  MM 1015.5  17.9  19.9  14.8   MM   MM    MM
2024 10 25 19 00 260  2.0  2.0    MM    MM    MM  MM 1015.5  18.1  19.9  14.9   MM +0.8    MM
2024 10 25 18 50 220  0.0  2.0   0.9    14   8.1 197 1015.5  18.2  19.9  15.2   MM   MM    MM
2024 10 25 18 40 230  1.0  2.0   0.9    MM   8.1 197 1015.7  18.0  19.8  15.1   MM   MM    MM
2024 10 25 18 30 250  2.0  3.0    MM    MM    MM  MM 1015.6  18.0    MM  15.1   MM   MM    MM
2024 10 25 18 20 260  1.0  2.0   0.8    13   8.6 201 1015.6  18.1  19.9  15.2   MM   MM    MM
2024 10 25 18 10 290  1.0  2.0   0.8    MM   8.6 201 1015.6  18.0  19.8  15.1   MM   MM    MM
2024 10 25 18 00 250  1.0  2.0    MM    MM    MM  MM 1015.4  18.1  19.8  15.2   MM +1.5    MM
2024 10 25 17 50 230  1.0  2.0   0.9    14   8.8 195 1015.5  18.0  19.8  15.2   MM   MM    MM
2024 10 25 17 40 250  1.0  2.0    MM    MM    MM  MM 1015.3  18.0  19.8  15.2   MM   MM    MM
2024 10 25 17 30 250  1.0  2.0    MM    MM    MM  MM 1015.3  18.0  19.8  15.3   MM   MM    MM
2024 10 25 17 20 270  1.0  2.0   0.9    14   8.6 188 1015.3  17.9  19.8  15.3   MM   MM    MM
2024 10 25 17 10 260  1.0  2.0    MM    MM    MM  MM 1015.3  17.9  19.8  15.3   MM   MM    MM
2024 10 25 17 00 250  2.0  2.0    MM    MM    MM  MM 1015.3  18.0  19.8  15.4   MM +2.0    MM
2024 10 25 16 50 230  2.0  2.0   0.9    13   7.8 185 1015.3  18.0  19.8  15.4   MM   MM    MM
2024 10 25 16 40 240  1.0  2.0    MM    MM    MM  MM 1015.2  18.0  19.8  15.4   MM   MM    MM
2024 10 25 16 30 240  1.0  2.0    MM    MM    MM  MM 1015.2  18.0  19.8  15.4   MM   MM    MM
2024 10 25 16 20 230  1.0  2.0   0.9    13   8.2 178 1015.1  18.0  19.8  15.3   MM   MM    MM
2024 10 25 16 10 230  1.0  2.0   0.9    MM   8.2 178 1014.8  18.2  19.8  15.3   MM   MM    MM
2024 10 25 16 00 220  1.0  2.0    MM    MM    MM  MM 1014.7  18.3  19.8  15.4   MM +1.7    MM
2024 10 25 15 50 190  0.0  2.0   0.9    14   7.9 196 1014.5  18.3  19.8  15.7   MM   MM    MM
2024 10 25 15 40  90  1.0  2.0   0.9    MM   7.9 196 1014.4  18.1  19.8  15.7   MM   MM    MM
2024 10 25 15 30 210  0.0  2.0    MM    MM    MM  MM 1014.3  17.8  19.8  15.6   MM   MM    MM
2024 10 25 15 20 200  1.0  2.0   0.9    14   7.7 196 1014.2  17.8    MM  15.6   MM   MM    MM
2024 10 25 15 10 170  1.0  2.0   0.9    MM   7.7 196 1014.1  17.9  19.8  15.7   MM   MM    MM
2024 10 25 15 00 170  1.0  2.0    MM    MM    MM  MM 1013.9  17.8  19.8  15.6   MM +1.2    MM
2024 10 25 14 50 170  1.0  2.0   0.9    15   7.6 184 1013.8  17.8  19.8  15.7   MM   MM    MM
2024 10 25 14 40 190  1.0  2.0   0.9    MM   7.6 184 1013.7  17.7  19.7  15.6   MM   MM    MM
2024 10 25 14 30 230  0.0  1.0    MM    MM    MM  MM 1013.5  17.6  19.7  15.6   MM   MM    MM
2024 10 25 14 20 210  0.0  2.0   0.9    14   8.1 189 1013.3  17.6  19.7  15.5   MM   MM    MM
2024 10 25 14 10 180  1.0  1.0   0.9    MM   8.1 189 1013.3  17.6  19.7  15.6   MM   MM    MM
2024 10 25 14 00 120  1.0  2.0    MM    MM    MM  MM 1013.3  17.5  19.7  15.5   MM +0.9    MM
2024 10 25 13 50 150  1.0  2.0   1.0    14   8.0 181 1013.2  17.6  19.7  15.6   MM   MM    MM
2024 10 25 13 40 160  1.0  1.0   1.0    MM   8.0 181 1013.3  17.6  19.7  15.6   MM   MM    MM
2024 10 25 13 30  90  1.0  1.0    MM    MM    MM  MM 1013.2  17.6  19.7  15.7   MM   MM    MM
2024 10 25 13 20  50  1.0  2.0   1.0    14   7.9 187 1013.0  17.5  19.7  15.5   MM   MM    MM
2024 10 25 13 10  90  1.0  2.0    MM    MM    MM  MM 1013.0  17.5  19.7  15.6   MM   MM    MM
2024 10 25 13 00  80  1.0  2.0    MM    MM    MM  MM 1013.0  17.6  19.7  15.7   MM +0.5    MM
2024 10 25 12 50  90  1.0  3.0   0.9    MM   7.9 184 1012.8  17.6  19.8  15.8   MM   MM    MM
2024 10 25 12 40  MM   MM   MM   0.9    14   7.9 184     MM    MM    MM    MM   MM   MM    MM
2024 10 25 12 30 360  1.0  1.0    MM    MM    MM  MM 1012.7  17.6  19.8  15.9   MM   MM    MM
2024 10 25 12 20  MM  1.0  2.0   1.0    MM   8.3 187 1012.6    MM  19.8    MM   MM   MM    MM
2024 10 25 12 10  30  1.0  2.0   1.0    MM   8.3 187 1012.7  17.5  19.8  15.8   MM   MM    MM
2024 10 25 12 00 350  1.0  2.0    MM    MM    MM  MM 1012.7  17.5  19.8  15.8   MM -0.0    MM
2024 10 25 11 50 280  0.0  1.0   0.9    14   8.0 210 1012.7  17.5    MM  15.8   MM   MM    MM
2024 10 25 11 40 320  1.0  2.0    MM    MM    MM  MM 1012.5  17.5  19.7  15.8   MM   MM    MM
2024 10 25 11 30 330  1.0  2.0    MM    MM    MM  MM 1012.5  17.5  19.8  15.8   MM   MM    MM
2024 10 25 11 20 310  1.0  2.0   1.0    14   8.0 199 1012.5  17.4  19.8  15.7   MM   MM    MM
2024 10 25 11 10 300  1.0  3.0    MM    MM    MM  MM 1012.4  17.4  19.8  15.7   MM   MM    MM
2024 10 25 11 00 310  2.0  4.0    MM    MM    MM  MM 1012.4  17.4  19.8  15.7   MM +0.0    MM
2024 10 25 10 50 290  2.0  3.0   1.0    MM   8.5 193 1012.5  17.4  19.8  15.8   MM   MM    MM
2024 10 25 10 40  MM   MM   MM   1.0    15   8.5 193     MM    MM    MM    MM   MM   MM    MM
2024 10 25 10 30 320  1.0  3.0    MM    MM    MM  MM 1012.4  17.3  19.8  15.6   MM   MM    MM
2024 10 25 10 20 310  1.0  3.0   1.1    14   8.9 186 1012.4  17.4  19.8  15.7   MM   MM    MM
2024 10 25 10 10 290  2.0  3.0   1.1    MM   8.9 186 1012.5  17.4  19.8  15.7   MM   MM    MM
2024 10 25 10 00 280  2.0  3.0    MM    MM    MM  MM 1012.5  17.4  19.8  15.7   MM +0.0    MM
2024 10 25 09 50 270  2.0  2.0   0.9    14   8.2 199 1012.5  17.4  19.8  15.7   MM   MM    MM
2024 10 25 09 40 270  2.0  3.0   0.9    MM   8.2 199 1012.5  17.4  19.8  15.7   MM   MM    MM
2024 10 25 09 30 260  2.0  3.0    MM    MM    MM  MM 1012.6  17.4  19.8  15.7   MM   MM    MM
2024 10 25 09 20 240  2.0  3.0   1.0    14   8.5 192 1012.6  17.4  19.8  15.7   MM   MM    MM
2024 10 25 09 10 250  2.0  2.0    MM    MM    MM  MM 1012.6  17.4  19.8  15.7   MM   MM    MM
2024 10 25 09 00 260  2.0  2.0    MM    MM    MM  MM 1012.6  17.4  19.8  15.7   MM +0.0    MM
2024 10 25 08 50 260  2.0  3.0   1.0    14   8.6 183 1012.6  17.5  19.8  15.8   MM   MM    MM
2024 10 25 08 40 300  2.0  3.0    MM    MM    MM  MM 1012.5  17.4  19.8  15.7   MM   MM    MM
2024 10 25 08 30 280  2.0  3.0    MM    MM    MM  MM 1012.6  17.4  19.8  15.7   MM   MM    MM
2024 10 25 08 20 270  2.0  3.0   1.0    15   8.8 182 1012.7  17.5  19.8  15.8   MM   MM    MM
2024 10 25 08 10 280  2.0  3.0   1.0    MM   8.8 182 1012.6  17.5  19.9  15.8   MM   MM    MM
2024 10 25 08 00 270  2.0  3.0    MM    MM    MM  MM 1012.6  17.5  19.9  15.8   MM +0.5    MM
2024 10 25 07 50 260  2.0  3.0   1.0    15   8.5 195 1012.5  17.4  19.9  15.7   MM   MM    MM
2024 10 25 07 40 270  2.0  3.0    MM    MM    MM  MM 1012.5  17.5  19.8  15.9   MM   MM    MM
2024 10 25 07 30 260  2.0  3.0   1.0    MM   8.5 195 1012.4  17.5  19.8  15.9   MM   MM    MM
2024 10 25 07 20 250  1.0  2.0   1.1    14   9.1 188 1012.5  17.5    MM  15.9   MM   MM    MM
2024 10 25 07 10 290  2.0  3.0    MM    MM    MM  MM 1012.5  17.6  19.9  16.0   MM   MM    MM
2024 10 25 07 00 270  2.0  3.0    MM    MM    MM  MM 1012.5  17.7  19.9  16.2   MM +0.8    MM
2024 10 25 06 50 280  2.0  3.0   1.0    14   8.3 190 1012.5  17.8  19.9  16.3   MM   MM    MM
2024 10 25 06 40 250  1.0  2.0   1.0    MM   8.3 190 1012.4  17.8  19.9  16.2   MM   MM    MM
2024 10 25 06 30 230  1.0  2.0    MM    MM    MM  MM 1012.5  17.8  19.9  16.2   MM   MM    MM
2024 10 25 06 20 260  1.0  2.0   0.9    MM   8.3 196 1012.4  17.8  19.9  16.2   MM   MM    MM
2024 10 25 06 10  MM   MM   MM   0.9    15   8.3 196     MM    MM    MM    MM   MM   MM    MM
2024 10 25 06 00 240  1.0  2.0    MM    MM    MM  MM 1012.4  17.8  20.0  16.2   MM +1.0    MM
