#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS PTDY  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi  hPa    ft
2024 10 25 23 48 350  0.5  1.0    MM    MM    MM  MM 1015.2  19.0  18.8    MM   MM   MM    MM
2024 10 25 23 42 360  1.0  1.0    MM    MM    MM  MM 1015.1  18.8  18.6    MM   MM   MM    MM
2024 10 25 23 36  10  1.0  1.0    MM    MM    MM  MM 1015.2  18.7  18.3    MM   MM   MM    MM
2024 10 25 23 30 340  0.5  1.5    MM    MM    MM  MM 1015.2  19.0  18.3    MM   MM   MM    MM
2024 10 25 23 24 340  1.0  1.0    MM    MM    MM  MM 1015.3  19.0  18.0    MM   MM   MM    MM
2024 10 25 23 00 320  0.5  1.0    MM    MM    MM  MM 1015.6  19.8  17.6    MM   MM -0.5    MM
2024 10 25 22 54 320  0.5  1.0    MM    MM    MM  MM 1015.6  19.5  17.5    MM   MM   MM    MM
2024 10 25 22 48 310  0.5  1.5    MM    MM    MM  MM 1015.6  19.4  17.6    MM   MM   MM    MM
2024 10 25 22 42 320  0.5  1.0    MM    MM    MM  MM 1015.5  18.9  17.8    MM   MM   MM    MM
2024 10 25 22 36 340  1.0  1.5    MM    MM    MM  MM 1015.4  18.3  17.7    MM   MM   MM    MM
2024 10 25 22 30 340  1.5  1.5    MM    MM    MM  MM 1015.3  18.1  17.5    MM   MM   MM    MM
2024 10 25 22 24 340  1.5  1.5    MM    MM    MM  MM 1015.3  18.0  17.5    MM   MM   MM    MM
2024 10 25 22 18 330  1.0  2.1    MM    MM    MM  MM 1015.2  18.1  17.7    MM   MM   MM    MM
2024 10 25 22 12 320  1.5  2.1    MM    MM    MM  MM 1015.2  17.9  17.7    MM   MM   MM    MM
2024 10 25 22 06 320  1.5  2.1    MM    MM    MM  MM 1015.3  17.7  18.0    MM   MM   MM    MM
2024 10 25 22 00 320  1.5  2.1    MM    MM    MM  MM 1015.3  17.6  18.5    MM   MM -1.4    MM
2024 10 25 21 54 320  1.0  2.1    MM    MM    MM  MM 1015.3  17.7  18.9    MM   MM   MM    MM
2024 10 25 21 48 330  1.5  2.1    MM    MM    MM  MM 1015.3  17.4  18.9    MM   MM   MM    MM
2024 10 25 21 42 330  1.5  2.1    MM    MM    MM  MM 1015.3  17.4  18.9    MM   MM   MM    MM
2024 10 25 21 36 320  1.5  2.1    MM    MM    MM  MM 1015.2  17.5  18.9    MM   MM   MM    MM
2024 10 25 21 30 350  1.5  2.1    MM    MM    MM  MM 1015.2  17.3  18.9    MM   MM   MM    MM
2024 10 25 21 24 350  1.5  2.6    MM    MM    MM  MM 1015.2  17.1  18.9    MM   MM   MM    MM
2024 10 25 21 18 340  1.5  2.1    MM    MM    MM  MM 1015.2    MM  18.9    MM   MM   MM    MM
2024 10 25 21 12 330  1.5  2.1    MM    MM    MM  MM 1015.3    MM  18.9    MM   MM   MM    MM
2024 10 25 21 06 330  1.5  1.5    MM    MM    MM  MM 1015.4    MM  18.9    MM   MM   MM    MM
2024 10 25 21 00 330  1.5  1.5    MM    MM    MM  MM 1015.5  17.8  18.9    MM   MM -1.2    MM
2024 10 25 20 54 300  1.0  1.5    MM    MM    MM  MM 1015.5  18.2  18.9    MM   MM   MM    MM
2024 10 25 20 48 310  1.5  1.5    MM    MM    MM  MM     MM    MM  18.9    MM   MM   MM    MM
2024 10 25 20 42 340  0.5  1.5    MM    MM    MM  MM     MM    MM  18.9    MM   MM   MM    MM
2024 10 25 20 36  MM  0.0  1.0    MM    MM    MM  MM     MM    MM  18.9    MM   MM   MM    MM
2024 10 25 20 30 310  1.0  1.0    MM    MM    MM  MM 1015.8  17.6  18.8    MM   MM   MM    MM
2024 10 25 20 24 310  1.0  1.5    MM    MM    MM  MM 1015.9  17.2  18.8    MM   MM   MM    MM
2024 10 25 20 18 320  1.0  1.5    MM    MM    MM  MM 1015.9  17.1  18.8    MM   MM   MM    MM
2024 10 25 20 12 320  1.5  2.1    MM    MM    MM  MM 1015.9  17.6  18.7    MM   MM   MM    MM
2024 10 25 20 06 310  1.0  1.0    MM    MM    MM  MM 1015.9  17.9  18.7    MM   MM   MM    MM
2024 10 25 20 00 300  1.0  2.1    MM    MM    MM  MM 1016.1  17.6  18.7    MM   MM -0.4    MM
2024 10 25 19 54  MM  0.0  1.5    MM    MM    MM  MM 1016.2  17.6  18.7    MM   MM   MM    MM
2024 10 25 19 48 270  1.0  1.5    MM    MM    MM  MM 1016.3  16.9  18.6    MM   MM   MM    MM
2024 10 25 19 42 270  1.0  2.1    MM    MM    MM  MM 1016.4  16.6  18.6    MM   MM   MM    MM
2024 10 25 19 36 320  1.5  1.5    MM    MM    MM  MM 1016.5  16.4  18.6    MM   MM   MM    MM
2024 10 25 19 30 300  1.5  2.6    MM    MM    MM  MM 1016.5  16.6  18.6    MM   MM   MM    MM
2024 10 25 19 24 270  1.5  2.6    MM    MM    MM  MM 1016.5  16.3  18.6    MM   MM   MM    MM
2024 10 25 19 18 260  1.0  2.1    MM    MM    MM  MM 1016.5  16.6  18.5    MM   MM   MM    MM
2024 10 25 19 12 320  1.0  2.6    MM    MM    MM  MM 1016.6  16.7  18.6    MM   MM   MM    MM
2024 10 25 19 06 300  2.1  2.6    MM    MM    MM  MM 1016.7  16.8  18.6    MM   MM   MM    MM
2024 10 25 19 00 260  1.5  2.1    MM    MM    MM  MM 1016.7  16.8  18.4    MM   MM +0.7    MM
2024 10 25 18 54  MM  0.0  2.6    MM    MM    MM  MM 1016.6  16.8  18.4    MM   MM   MM    MM
2024 10 25 18 48 250  1.5  2.1    MM    MM    MM  MM 1016.5  16.0  18.3    MM   MM   MM    MM
2024 10 25 18 42 240  1.5  2.1    MM    MM    MM  MM 1016.5  16.0  18.2    MM   MM   MM    MM
2024 10 25 18 36 240  1.0  1.5    MM    MM    MM  MM 1016.6  16.1  18.1    MM   MM   MM    MM
2024 10 25 18 30 280  0.5  2.1    MM    MM    MM  MM 1016.6  16.0  18.0    MM   MM   MM    MM
2024 10 25 18 24 310  1.5  2.1    MM    MM    MM  MM 1016.7  15.6  17.9    MM   MM   MM    MM
2024 10 25 18 18 240  1.0  2.6    MM    MM    MM  MM 1016.7  15.6  17.8    MM   MM   MM    MM
2024 10 25 18 12 240  2.1  2.6    MM    MM    MM  MM 1016.7  15.3  17.7    MM   MM   MM    MM
2024 10 25 18 06 270  2.6  3.1    MM    MM    MM  MM 1016.7  15.3  17.8    MM   MM   MM    MM
2024 10 25 18 00 280  2.1  2.6    MM    MM    MM  MM 1016.7  15.3  17.7    MM   MM +1.5    MM
2024 10 25 17 54 270  2.1  2.6    MM    MM    MM  MM 1016.7  15.3  17.8    MM   MM   MM    MM
2024 10 25 17 48  MM  0.0  1.0    MM    MM    MM  MM 1016.6  15.4  17.8    MM   MM   MM    MM
2024 10 25 17 42 290  1.0  1.5    MM    MM    MM  MM 1016.6  15.3  17.7    MM   MM   MM    MM
2024 10 25 17 36 310  1.0  1.0    MM    MM    MM  MM 1016.6  15.3  17.6    MM   MM   MM    MM
2024 10 25 17 30 350  0.5  1.0    MM    MM    MM  MM 1016.5  15.0  17.6    MM   MM   MM    MM
2024 10 25 17 24  MM  0.0  1.0    MM    MM    MM  MM 1016.5  14.9  17.6    MM   MM   MM    MM
2024 10 25 17 18 310  1.0  1.5    MM    MM    MM  MM 1016.5  14.8  17.6    MM   MM   MM    MM
2024 10 25 17 12 320  0.5  1.5    MM    MM    MM  MM 1016.5  14.8  17.6    MM   MM   MM    MM
2024 10 25 17 06 260  1.5  2.1    MM    MM    MM  MM 1016.6  14.6  17.7    MM   MM   MM    MM
2024 10 25 17 00 250  1.0  1.5    MM    MM    MM  MM 1016.5  14.7  17.5    MM   MM +1.9    MM
2024 10 25 16 54 260  0.5  1.0    MM    MM    MM  MM 1016.4  14.6  17.5    MM   MM   MM    MM
2024 10 25 16 48 210  1.0  2.1    MM    MM    MM  MM 1016.4  14.5  17.5    MM   MM   MM    MM
2024 10 25 16 42 230  1.0  1.5    MM    MM    MM  MM 1016.4  14.5  17.5    MM   MM   MM    MM
2024 10 25 16 36 230  1.0  1.5    MM    MM    MM  MM 1016.3  14.5  17.6    MM   MM   MM    MM
